dataset,lambda1,lambda2,gamma,nmi,converged,iterations,eig_K,eig_Kp1,eigengap,diagdom,meanDiag,meanOff,svr,sv1,sv2,froZ,stopping_reason
yale,1,0.0001,12,0.83328604,1,32,0.1931130863,0.1849727605,0.008140325752,23.95894967,0.3412623452,0.01424362712,0.991408589,1.120537526,1.110910528,6.06616291,tolerance
yale,1,0.0001,24,0.83669165,1,32,0.1956328106,0.1878687424,0.00776406818,23.2958662,0.3266047046,0.01401985665,0.9944643946,1.103922317,1.097811438,5.874207471,tolerance
yale,1,0.001,6,0.81773120,1,33,0.2271580768,0.2132244169,0.01393365994,27.28734257,0.3443221636,0.01261838388,0.9919504487,1.092662997,1.08386755,6.032185038,tolerance
yale,1,0.001,12,0.81565552,1,33,0.2254461822,0.2149062591,0.01053992315,26.1925934,0.3309277099,0.0126344003,0.9928953997,1.090963122,1.083212265,5.865228073,tolerance
yale,1,0.001,24,0.81721529,1,33,0.2271466415,0.2167570072,0.01038963435,25.26908181,0.3167560436,0.01253532068,0.9937464566,1.077688801,1.070949427,5.683324824,tolerance
yale,1,0.01,6,0.74226448,1,35,0.3230242748,0.3067909407,0.01623333407,27.10008076,0.2464571286,0.009094331886,0.9791927539,1.043571714,1.021857861,4.814294909,tolerance
yale,1,0.01,12,0.74482093,1,34,0.3221783436,0.3067562241,0.01542211945,26.19014925,0.2381540081,0.009093266551,0.9753002521,1.044903863,1.019095001,4.691108073,tolerance
yale,1,0.01,24,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,error
yale,1,0.05,6,0.71370981,1,37,0.1859684378,0.1702655419,0.01570289597,14.14514286,0.1199291434,0.008478468163,0.9912703527,1.00997128,1.001154587,3.432055632,tolerance
yale,1,0.05,12,0.71202305,1,37,0.1810853917,0.1691873258,0.01189806592,13.39515581,0.1134604881,0.008470262661,0.9923359081,1.008670118,1.000939577,3.322207096,tolerance
yale,1,0.05,24,0.70759448,1,37,0.1778534006,0.1682456694,0.009607731203,12.92690685,0.1088072443,0.008417113669,0.9975664713,1.002075257,0.9996366784,3.236343519,tolerance
yale,1,0.1,6,0.67784395,1,37,0.1162590493,0.0997915263,0.01646752304,9.743473666,0.08341792878,0.008561415737,0.9955631452,1.001642031,0.9971978911,3.03557559,tolerance
yale,1,0.1,12,0.67327517,1,37,0.1146536704,0.09605322703,0.01860044332,9.200076465,0.0784868478,0.008531108204,0.9937600769,1.001332909,0.9950846688,2.938765352,tolerance
yale,1,0.1,24,0.67952414,1,37,0.1142389538,0.09325204443,0.02098690941,8.916842208,0.07541097067,0.008457138628,0.9861823337,1.001093809,0.9872610288,2.864186709,tolerance
